<document id="2489472-a">
<head>
	<caption>घर या होटल में ताश खेलना अपराध नहीं नहीं लग सकता गैंबलिंग एक्ट, पर पुलिस नाजायज तरीके से कर लेती है गिरफ्तार जालंधर.</caption>
	<language>Hindi </language>
	<domain_name>News Articles </domain_name>
	<word_count>500</word_count>
	<byte_count>60940</byte_count>
	<availability>
		<format>CML/SSF</format>
	<sentence_marker>.</sentence_marker>
	<normalization>No</normalization>
	</availability>
	<encoding_description>
		<original_encoding>ISO 8859</original_encoding>
		<new_encoding>Unicode UTF8</new_encoding>
	</encoding_description>
	<distributor>LTRC, IIIT Hyderabad</distributor>
	<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
	<creation>
		<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
		<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
	<edition_number>1.0</edition_number>
	</creation>
	<publication>
		<place>New Delhi</place>
		<date>30/5/2004</date>
		<type>Newspaper</type>
		<publisher>
			<name>Amar Ujala</name>
			<url>http://www.amarujala.com</url>
		</publisher>
	</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id='1'>
1	((	NP	<fs name='NP' drel='r6:NP2'>
1.1	दीवाली	NNP	<fs af='दीवाली,n,f,sg,3,o,0,0' name='दीवाली' posn='10'>
1.2	के	PSP	<fs af='का,psp,m,sg,,o,,' name='के' posn='20'>
	))
2	((	NP	<fs name='NP2' drel='k7t:VGF'>
2.1	दिन	NN	<fs af='दिन,n,m,sg,3,o,0,0' name='दिन' posn='30'>
	))
3	((	NP	<fs name='NP3' drel='k2:VGF'>
3.1	जुआ	NN	<fs af='जुआ,n,m,sg,3,d,0,0' name='जुआ' posn='40'>
	))
4	((	VGF	<fs voicetype='active' name='VGF' stype='declarative' drel='ccof:CCP'>
4.1	खेलें	VM	<fs af='खेल,v,any,sg,any,,एं,eM' name='खेलें' posn='50'>
	))
5	((	CCP	<fs name='CCP'>
5.1	मगर	CC	<fs af='मगर,avy,,,,,,' name='मगर' posn='60'>
	))
6	((	NP	<fs name='NP4' drel='ccof:CCP2'>
6.1	घर	NN	<fs af='घर,n,m,sg,3,o,0,0' name='घर' posn='70'>
6.2	में	PSP	<fs af='में,psp,,,,,,' name='में' posn='80'>
	))
7	((	CCP	<fs name='CCP2' drel='k7p:NULL__VGF'>
7.1	या	CC	<fs af='या,avy,,,,,,' name='या' posn='90'>
	))
8	((	NP	<fs name='NP5' drel='ccof:CCP2'>
8.1	होटल	NN	<fs af='होटल,n,m,sg,3,o,0,0' name='होटल' posn='100'>
8.2	में	PSP	<fs af='में,psp,,,,,,' name='में2' posn='110'>
	))
9	((	NULL__VGF	<fs mtype='gap' troot='खेल' dmrel='ccof:CCP' name='NULL__VGF'>
9.1	NULL	VM	<fs name='NULL'>
	))
10	((	BLK	<fs name='BLK' drel='rsym:CCP'>
10.1	.	SYM	<fs af='.,punc,,,,,,' name='.' posn='120'>
	))
</Sentence>

<Sentence id='2'>
1	((	NP	<fs name='NP' drel='k1:VGF'>
1.1	यह	PRP	<fs af='यह,pn,any,sg,3,d,0,0' name='यह' posn='10'>
	))
2	((	NP	<fs name='NP2' drel='k1s:VGF'>
2.1	कानूनी	JJ	<fs af='कानूनी,adj,any,any,,d,,' name='कानूनी' posn='20'>
2.2	अपराध	NN	<fs af='अपराध,n,m,sg,3,d,0,0' name='अपराध' posn='30'>
	))
3	((	VGF	<fs voicetype='active' name='VGF' stype='declarative' drel='ccof:CCP'>
3.1	नहीं	NEG	<fs af='नहीं,avy,,,,,,' name='नहीं' posn='40'>
3.2	है	VM	<fs af='है,v,any,sg,3,,है,hE' name='है' posn='50'>
3.3	,	SYM	<fs af='COMMA,punc,,,,,,' name=',' posn='60'>
	))
4	((	CCP	<fs name='CCP'>
4.1	लेकिन	CC	<fs af='लेकिन,avy,,,,,,' name='लेकिन' posn='70'>
	))
5	((	NP	<fs name='NP3' drel='adv:VGF2'>
5.1	गलती	NN	<fs af='गलती,n,f,sg,3,o,0,0' name='गलती' posn='80'>
5.2	से	PSP	<fs af='से,psp,,,,,,' name='से' posn='90'>
	))
6	((	NP	<fs name='NP4' drel='nmod:NP5'>
6.1	कहीं	PRP	<fs af='कहीं,pn,,,,d,0,0' name='कहीं' posn='100'>
	))
7	((	NP	<fs name='NP5' drel='k7p:VGF2'>
7.1	सार्वजनिक	JJ	<fs af='सार्वजनिक,adj,any,any,,o,,' name='सार्वजनिक' posn='110'>
7.2	स्थल	NN	<fs af='स्थल,n,m,sg,3,o,0,0' name='स्थल' posn='120'>
7.3	पर	PSP	<fs af='पर,psp,,,,,,' name='पर' posn='130'>
	))
8	((	VGF	<fs voicetype='active' name='VGF2' stype='declarative' drel='vmod:VGF3'>
8.1	खेला	VM	<fs af='खेल,v,any,sg,3,,या,yA' name='खेला' posn='140'>
	))
9	((	CCP	<fs name='CCP2' drel='ccof:CCP'>
9.1	तो	CC	<fs af='तो,avy,,,,,,' name='तो' posn='150'>
	))
10	((	NP	<fs name='NP6' drel='k1:VGF3'>
10.1	यह	PRP	<fs af='यह,pn,any,sg,3,d,0,0' name='यह2' posn='160'>
	))
11	((	NP	<fs name='NP7' drel='k2:VGF3'>
11.1	अपराध	NN	<fs af='अपराध,n,m,sg,3,d,0,0' name='अपराध2' posn='170'>
	))
12	((	VGF	<fs voicetype='active' name='VGF3' stype='declarative' drel='ccof:CCP2'>
12.1	माना	VM	<fs af='मान,v,m,sg,3,,या,yA' name='माना' posn='180'>
12.2	जाएगा	VAUX	<fs af='जा,v,m,sg,3,,गा,gA' name='जाएगा' posn='190'>
	))
13	((	BLK	<fs name='BLK' drel='rsym:CCP'>
13.1	.	SYM	<fs af='.,punc,,,,,,' name='.' posn='200'>
	))
</Sentence>

<Sentence id='3'>
1	((	NP	<fs name='NP' drel='k2:VGNN'>
1.1	यह	PRP	<fs af='यह,pn,any,sg,3,d,0,0' name='यह' posn='10'>
	))
2	((	VGNN	<fs name='VGNN' drel='k1:VGF'>
2.1	कहना	VM	<fs af='कह,v,any,any,any,d,ना,nA' name='कहना' posn='20'>
	))
3	((	VGF	<fs voicetype='active' name='VGF' stype='declarative' drel='ccof:CCP'>
3.1	है	VM	<fs af='है,v,any,sg,3,,है,hE' name='है' posn='30'>
	))
4	((	NP	<fs name='NP2' drel='k1:VGNN'>
4.1	कानूनी	JJ	<fs af='कानूनी,adj,any,any,,o,,' name='कानूनी' posn='40'>
4.2	विशेषज्ञों	NN	<fs af='विशेषज्ञ,n,m,pl,3,o,0,0' name='विशेषज्ञों' posn='50'>
4.3	का	PSP	<fs af='का,psp,m,sg,,d,,' name='का' posn='60'>
4.4	,	SYM	<fs af='COMMA,punc,,,,,,' name=',' posn='70'>
	))
5	((	CCP	<fs name='CCP'>
5.1	लेकिन	CC	<fs af='लेकिन,avy,,,,,,' name='लेकिन' posn='80'>
	))
6	((	NP	<fs name='NP3' drel='r6:NP4'>
6.1	पुलिस	NNC	<fs af='पुलिस,n,f,sg,3,d,0,0' name='पुलिस' posn='90'>
6.2	कर्मचारियों	NN	<fs af='कर्मचारी,n,m,pl,3,o,0,0' name='कर्मचारियों' posn='100'>
6.3	की	PSP	<fs af='का,psp,f,sg,,d,,' name='की' posn='110'>
	))
7	((	NP	<fs name='NP4' drel='r6:NP5'>
7.1	कानून	NN	<fs af='कानून,n,m,sg,3,o,0,0' name='कानून' posn='120'>
7.2	की	PSP	<fs af='का,psp,f,sg,,d,,' name='की2' posn='130'>
	))
8	((	NP	<fs name='NP5' drel='k1:VGF2'>
8.1	किताब	NN	<fs af='किताब,n,f,sg,3,d,0,0' name='किताब' posn='140'>
	))
9	((	JJP	<fs name='JJP' drel='k1s:VGF2'>
9.1	अलग	JJ	<fs af='अलग,adj,any,any,,,,' name='अलग' posn='150'>
9.2	ही	RP	<fs af='ही,avy,,,,,,' name='ही' posn='160'>
	))
10	((	VGF	<fs voicetype='active' name='VGF2' stype='declarative' drel='ccof:CCP'>
10.1	है	VM	<fs af='है,v,any,sg,3,,है,hE' name='है2' posn='170'>
10.2	,	SYM	<fs af='COMMA,punc,,,,,,' name=',2' posn='180'>
	))
11	((	NP	<fs coref='NP5' name='NP6' drel='rh:VGF3'>
11.1	जिसके	PRP	<fs af='जो,pn,any,sg,3,o,0,0' name='जिसके' posn='190'>
11.2	चलते	PSP	<fs af='चलते,psp,,,,,,' name='चलते' posn='200'>
	))
12	((	NP	<fs name='NP7' drel='ccof:CCP2'>
12.1	होटल	NN	<fs af='होटल,n,m,sg,3,o,0,0' name='होटल' posn='210'>
	))
13	((	CCP	<fs name='CCP2' drel='k7p:VGF3'>
13.1	और	CC	<fs af='और,avy,,,,,,' name='और' posn='220'>
	))
14	((	NP	<fs name='NP8' drel='ccof:CCP2'>
14.1	घरों	NN	<fs af='घर,n,m,pl,3,o,0,0' name='घरों' posn='230'>
14.2	के	PSP	<fs af='के,psp,,,,,,' name='के' posn='240'>
14.3	अंदर	NST	<fs af='अंदर,nst,m,sg,3,d,,' name='अंदर' posn='250'>
	))
15	((	NP	<fs name='NP9' drel='k2:VGNN2'>
15.1	ताश	NN	<fs af='ताश,n,m,pl,3,d,0,0' name='ताश' posn='260'>
	))
16	((	VGNN	<fs name='VGNN2' drel='ccof:CCP3'>
16.1	खेलने	VM	<fs af='खेल,v,any,any,any,o,ना,nA' name='खेलने' posn='270'>
	))
17	((	CCP	<fs name='CCP3' drel='k2:VGF3'>
17.1	या	CC	<fs af='या,avy,,,,,,' name='या' posn='280'>
	))
18	((	NP	<fs name='NP10' drel='k2:VGNN3'>
18.1	पैसा	NN	<fs af='पैसा,n,m,sg,3,d,0,0' name='पैसा' posn='290'>
	))
19	((	VGNN	<fs name='VGNN3' drel='ccof:CCP3'>
19.1	लगाने	VM	<fs af='लगा,v,any,any,any,o,ना,nA' name='लगाने' posn='300'>
19.2	वालों	PSP	<fs af='वाला,psp,m,pl,,o,,' name='वालों' posn='310'>
19.3	को	PSP	<fs af='को,psp,,,,,,' name='को' posn='320'>
19.4	भी	RP	<fs af='भी,avy,,,,,,' name='भी' posn='330'>
	))
20	((	JJP	<fs name='JJP2' drel='pof:VGF3'>
20.1	गिरफ्तार	JJ	<fs af='गिरफ्तार,adj,any,any,,,,' name='गिरफ्तार' posn='340'>
	))
21	((	VGF	<fs voicetype='passive' name='VGF3' stype='declarative' drel='nmod__relc:NP5'>
21.1	कर	VM	<fs af='कर,v,any,any,any,,0,0' name='कर' posn='350'>
21.2	लिया	VAUX	<fs af='ले,v,m,sg,3,,या,yA' name='लिया' posn='360'>
21.3	जाता	VAUX	<fs af='जा,v,m,sg,3,,ता,wA' name='जाता' posn='370'>
21.4	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' name='है3' posn='380'>
	))
22	((	BLK	<fs name='BLK' drel='rsym:CCP'>
22.1	.	SYM	<fs af='.,punc,,,,,,' name='.' posn='390'>
	))
</Sentence>

<Sentence id='4'>
1	((	NP	<fs name='NP' drel='k1:VGF'>
1.1	मिस्टर	NNC	<fs af='मिस्टर,n,m,sg,3,d,0,0' name='मिस्टर' posn='10'>
1.2	एक्स	NNP	<fs af='एक्स,n,m,sg,3,d,0,0' name='एक्स' posn='20'>
	))
2	((	NP	<fs name='NP2' drel='k7p:VGF'>
2.1	घर	NN	<fs af='घर,n,m,sg,3,o,0,0' name='घर' posn='30'>
2.2	पर	PSP	<fs af='पर,psp,,,,,,' name='पर' posn='40'>
	))
3	((	NP	<fs name='NP3' drel='ras-k1:VGF'>
3.1	दोस्तों	NN	<fs af='दोस्त,n,m,pl,3,o,0,0' name='दोस्तों' posn='50'>
3.2	के	PSP	<fs af='का,psp,,,,,,' name='के' posn='60'>
3.3	साथ	NST	<fs af='साथ,nst,m,sg,3,d,,' name='साथ' posn='70'>
	))
4	((	NP	<fs name='NP4' drel='k2:VGF'>
4.1	ताश	NN	<fs af='ताश,n,m,sg,3,d,0,0' name='ताश' posn='80'>
	))
5	((	VGF	<fs name='VGF' stype='declarative' voicetype='active'>
