<document id="2484405-a">
<head>
	<caption>पाकिस्तान सियाचिन से सेना हटाना चाहता है रक्षा सचिवों की बैठक मई में होने की संभावना अमर उजाला ब्यूरो/एजेंसियां नई दिल्ली.</caption>
	<language>Hindi </language>
	<domain_name>News Articles </domain_name>
	<word_count>279</word_count>
	<byte_count>34756</byte_count>
	<availability>
		<format>CML/SSF</format>
	<sentence_marker>.</sentence_marker>
	<normalization>No</normalization>
	</availability>
	<encoding_description>
		<original_encoding>ISO 8859</original_encoding>
		<new_encoding>Unicode UTF8</new_encoding>
	</encoding_description>
	<distributor>LTRC, IIIT Hyderabad</distributor>
	<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
	<creation>
		<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
		<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
	<edition_number>1.0</edition_number>
	</creation>
	<publication>
		<place>New Delhi</place>
		<date>29/5/2004</date>
		<type>Newspaper</type>
		<publisher>
			<name>Amar Ujala</name>
			<url>http://www.amarujala.com</url>
		</publisher>
	</publication>

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id='1'>
1	((	NP	<fs name='NP' drel='rd:VGF'>
1.1	सरकार	NN	<fs af='सरकार,n,f,sg,3,o,0,0' name='सरकार' posn='10'>
1.2	की	PSP	<fs af='का,psp,f,sg,,o,,' name='की' posn='20'>
1.3	ओर	NST	<fs af='ओर,nst,f,sg,3,o,,' name='ओर' posn='30'>
1.4	से	PSP	<fs af='से,psp,,,,,,' name='से' posn='40'>
	))
2	((	NP	<fs name='NP2' drel='r6:NP3'>
2.1	इस	DEM	<fs af='यह,pn,any,sg,3,o,,' name='इस' posn='50'>
2.2	बात	NN	<fs af='बात,n,f,sg,3,o,0,0' name='बात' posn='60'>
2.3	की	PSP	<fs af='का,psp,f,sg,,d,,' name='की2' posn='70'>
	))
3	((	NP	<fs name='NP3' drel='k2:VGF'>
3.1	जानकारी	NN	<fs af='जानकारी,n,f,sg,3,d,0,0' name='जानकारी' posn='80'>
	))
4	((	VGF	<fs name='VGF' stype='declarative' voicetype='passive'>
4.1	दी	VM	<fs af='दे,v,f,sg,any,,या,yA' name='दी' posn='90'>
4.2	गई	VAUX	<fs af='जा,v,f,sg,any,,या१,yA1' name='गई' posn='100'>
4.3	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' name='है' posn='110'>
	))
5	((	CCP	<fs name='CCP' drel='rs:NP2'>
5.1	कि	CC	<fs af='कि,avy,,,,,,' name='कि' posn='120'>
	))
6	((	NP	<fs name='NP4' drel='k1:VGF2'>
6.1	पाकिस्तान	NNP	<fs af='पाकिस्तान,n,m,sg,3,d,0,0' name='पाकिस्तान' posn='130'>
	))
7	((	NP	<fs name='NP5' drel='k5:VGNN'>
7.1	सियाचिन	NNP	<fs af='सियाचिन,n,m,sg,3,o,0,0' name='सियाचिन' posn='140'>
7.2	से	PSP	<fs af='से,psp,,,,,,' name='से2' posn='150'>
	))
8	((	NP	<fs name='NP6' drel='r6:NP7'>
8.1	अपनी	PRP	<fs af='अपना,pn,f,any,any,d,0,0' name='अपनी' posn='160'>
	))
9	((	NP	<fs name='NP7' drel='k2:VGNN'>
9.1	सेना	NN	<fs af='सेना,n,f,sg,3,d,0,0' name='सेना' posn='170'>
	))
10	((	VGNN	<fs name='VGNN' drel='k2:VGF2'>
10.1	हटाना	VM	<fs af='हटा,v,any,any,any,d,ना,nA' name='हटाना' posn='180'>
	))
11	((	VGF	<fs voicetype='active' name='VGF2' stype='declarative' drel='ccof:CCP'>
11.1	चाहता	VM	<fs af='चाह,v,m,sg,3,,ता,wA' name='चाहता' posn='190'>
11.2	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' name='है2' posn='200'>
	))
12	((	BLK	<fs name='BLK' drel='rsym:VGF'>
12.1	.	SYM	<fs af='.,punc,,,,,,' name='.' posn='210'>
	))
</Sentence>

<Sentence id='2'>
1	((	CCP	<fs name='CCP'>
1.1	लेकिन	CC	<fs af='लेकिन,avy,,,,,,' name='लेकिन' posn='10'>
	))
2	((	NP	<fs name='NP' drel='k1:VGF'>
2.1	पाकिस्तान	NNP	<fs af='पाकिस्तान,n,m,sg,3,o,0,0' name='पाकिस्तान' posn='20'>
2.2	ने	PSP	<fs af='ने,psp,,,,,,' name='ने' posn='30'>
	))
3	((	NP	<fs name='NP2' drel='k2:VGF'>
3.1	इस	DEM	<fs af='यह,pn,any,sg,3,o,,' name='इस' posn='40'>
3.2	मुद्दे	NN	<fs af='मुद्दा,n,m,sg,3,o,0,0' name='मुद्दे' posn='50'>
3.3	को	PSP	<fs af='को,psp,,,,,,' name='को' posn='60'>
	))
4	((	NP	<fs name='NP3' drel='ras-k2:VGF'>
4.1	कुछ	QF	<fs af='कुछ,avy,,,,,,' name='कुछ' posn='70'>
4.2	ऐसी	DEM	<fs af='ऐसा,pn,f,any,any,o,,' name='ऐसी' posn='80'>
4.3	शर्तों	NN	<fs af='शर्त,n,f,pl,3,o,0,0' name='शर्तों' posn='90'>
4.4	के	PSP	<fs af='के,psp,,,,,,' name='के' posn='100'>
4.5	साथ	NST	<fs af='साथ,nst,m,sg,3,d,,' name='साथ' posn='110'>
	))
5	((	VGF	<fs voicetype='active' name='VGF' stype='declarative' drel='ccof:CCP'>
5.1	जोड़	VM	<fs af='जोड,v,any,any,any,,0,0' name='जोड़' posn='120'>
5.2	दिया	VAUX	<fs af='दे,v,m,sg,any,,या,yA' name='दिया' posn='130'>
5.3	है	VAUX	<fs af='है,v,any,sg,3,,है,hE' name='है' posn='140'>
	))
6	((	NP	<fs coref='NP3' name='NP4' drel='k2:VGF2'>
6.1	जिन्हें	PRP	<fs af='जो,pn,any,pl,3,o,को,ko' name='जिन्हें' posn='150'>
	))
7	((	NP	<fs name='NP5' drel='pof:VGF2'>
7.1	स्वीकार	NN	<fs af='स्वीकार,n,m,sg,3,d,0,0' name='स्वीकार' posn='160'>
	))
8	((	VGF	<fs voicetype='active' name='VGF2' stype='declarative' drel='nmod__relc:NP3'>
8.1	नहीं	NEG	<fs af='नहीं,avy,,,,,,' name='नहीं' posn='170'>
8.2	किया	VM	<fs af='कर,v,m,sg,any,,या,yA' name='किया' posn='180'>
8.3	जा	VAUX	<fs af='जा,v,any,any,any,,0,0' name='जा' posn='190'>
8.4	सकता	VAUX	<fs af='सक,v,m,sg,any,,ता,wA' name='सकता' posn='200'>
	))
9	((	BLK	<fs name='BLK' drel='rsym:CCP'>
9.1	.	SYM	<fs af='.,punc,,,,,,' name='.' posn='210'>
	))
</Sentence>

<Sentence id='3'>
1	((	NP	<fs name='NP' drel='sent-adv:VGF'>
1.1	उधर	NST	<fs af='उधर,nst,m,sg,3,d,,' name='उधर' posn='10'>
1.2	,	SYM	<fs af='COMMA,punc,,,,,,' name=',' posn='20'>
	))
2	((	NP	<fs name='NP2' drel='r6:NP3'>
2.1	सियाचिन	NNC	<fs af='सियाचिन,n,m,sg,3,d,0,0' name='सियाचिन' posn='30'>
2.2	मसले	NN	<fs af='मसला,n,m,sg,3,o,0,0' name='मसले' posn='40'>
2.3	के	PSP	<fs af='का,psp,m,sg,,o,,' name='के' posn='50'>
	))
3	((	NP	<fs name='NP3' drel='rt:VGNN'>
3.1	सर्वमान्य	JJ	<fs af='सर्वमान्य,adj,any,any,,o,,' name='सर्वमान्य' posn='60'>
3.2	हल	NN	<fs af='हल,n,m,sg,3,o,0,0' name='हल' posn='70'>
3.3	के	PSP	<fs af='के,psp,,,,,,' name='के2' posn='80'>
3.4	लिए	PSP	<fs af='लिए,psp,,,,,,' name='लिए' posn='90'>
	))
4	((	NP	<fs name='NP4' drel='ccof:CCP'>
4.1	भारत	NNP	<fs af='भारत,n,m,sg,3,o,0,0' name='भारत' posn='100'>
	))
5	((	CCP	<fs name='CCP' drel='r6:NP6'>
5.1	व	CC	<fs af='व,avy,,,,,,' name='व' posn='110'>
	))
6	((	NP	<fs name='NP5' drel='ccof:CCP'>
6.1	पाकिस्तान	NNP	<fs af='पाकिस्तान,n,m,sg,3,o,0,0' name='पाकिस्तान' posn='120'>
6.2	के	PSP	<fs af='का,psp,m,pl,,o,,' name='के3' posn='130'>
	))
7	((	NP	<fs name='NP6' drel='r6:NP7'>
7.1	रक्षा	NNC	<fs af='रक्षा,n,f,sg,3,d,0,0' name='रक्षा' posn='140'>
7.2	सचिवों	NN	<fs af='सचिव,n,m,pl,3,o,0,0' name='सचिवों' posn='150'>
7.3	की	PSP	<fs af='का,psp,f,sg,,d,,' name='की' posn='160'>
	))
8	((	NP	<fs name='NP7' drel='k2:VGNN'>
8.1	बैठक	NN	<fs af='बैठक,n,f,sg,3,d,0,0' name='बैठक' posn='170'>
	))
9	((	NP	<fs name='NP8' drel='ccof:CCP2'>
9.1	मई	NNP	<fs af='मई,n,f,sg,3,o,0,0' name='मई' posn='180'>
	))
10	((	CCP	<fs name='CCP2' drel='k7t:VGNN'>
10.1	या	CC	<fs af='या,avy,,,,,,' name='या' posn='190'>
	))
11	((	NP	<fs name='NP9' drel='ccof:CCP2'>
11.1	जून	NNP	<fs af='जून,n,m,sg,3,o,0,0' name='जून' posn='200'>
11.2	में	PSP	<fs af='में,psp,,,,,,' name='में' posn='210'>
	))
12	((	JJP	<fs name='JJP' drel='pof:VGNN'>
12.1	आयोजित	JJ	<fs af='आयोजित,adj,any,any,,,,' name='आयोजित' posn='220'>
	))
13	((	VGNN	<fs name='VGNN' drel='r6:NP10'>
13.1	किए	VM	<fs af='कर,v,m,sg,any,,या,yA' name='किए' posn='230'>
13.2	जाने	VAUX	<fs af='जा,v,any,any,any,o,ना,nA' name='जाने' posn='240'>
13.3	की	PSP	<fs af='का,psp,f,sg,,d,,' name='की2' posn='250'>
	))
