<document id="2511287">
<head>
<title></title>			
<caption>हाईकोर्ट के आदेश पर बेऊर जेल की तलाशी        सांसद पू यादव समेत चार के मोबाइल जब्त  अदालत ने राज्य सरकार को फिर फटकारा  एजेंसियां   : पटना</caption>			
<language>Hindi </language>			
<author>			
<firstname></firstname>			
<middlename></middlename>			
<lastname></lastname>			
</author>			
<creation>			
<raw_corpus creation_date="" institute_name=""></raw_corpus>			
<annotated_corpus creation_date="07/25/2009" institute_name="IIIT-Hyderabad"></annotated_corpus>			
</creation>			
<domain_name>News Articles </domain_name>			
<distributor>LTRC, IIIT Hyderabad</distributor>			
<source>ISI, Kolkata</source>			
<publication>			
<place>New Delhi</place>			
<date>8/6/2004</date>			
<address>Connaught Place, New Delhi</address>			
<type>Newspaper</type>			
<publisher>			
<name>Amar Ujala</name>			
<url>http://www.amarujala.com</url>			
</publisher>			
</publication>			
<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>			
<availability>			
<format>CML/SSF</format>			
</availability>			
<byte_count>10211</byte_count>			
<word_count>398</word_count>			
<edition_number>1.0</edition_number>			
<encoding_description>			
<original_encoding>ISO 8859</original_encoding>			
<new_encoding>Unicode UTF8</new_encoding>			
</encoding_description>			
<bibliography></bibliography>			
<sentence_marker>.</sentence_marker>			
<normalization>No</normalization>			
<utility_name>cml_tags</utility_name>			

</head>
<body>
<tb number="1" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"> </foreign>			
<text>
<Sentence id='1'>
1	((	NP	<fs name='NP' drel='r6:NP2'>
1.1	बिहार	NNP	<fs af='बिहार,n,m,sg,3,o,0,0' name='बिहार' posn='10'>
1.2	की	PSP	<fs af='का,psp,f,pl,,o,,' name='की' posn='20'>
	))
2	((	NP	<fs name='NP2' drel='k5:VGNF'>
2.1	जेलों	NN	<fs af='जेल,n,m,pl,3,o,0,0' name='जेलों' posn='30'>
2.2	से	PSP	<fs af='से,psp,,,,,,' name='से' posn='40'>
	))
3	((	VGNF	<fs name='VGNF' drel='nmod__k2inv:NP3'>
3.1	चलाई	VM	<fs af='चला,v,f,pl,any,,या,yA' name='चलाई' posn='50'>
3.2	जा	VAUX	<fs af='जा,v,any,any,any,,0,0' name='जा' posn='60'>
3.3	रही	VAUX	<fs af='रह,v,f,pl,any,,या,yA' name='रही' posn='70'>
	))
4	((	NP	<fs name='NP3' drel='k2:VGNN'>
4.1	अपराधिक	JJ	<fs af='अपराधिक,adj,any,any,,d,,' name='अपराधिक' posn='80'>
4.2	गतिविधियां	NN	<fs af='गतिविधि,n,f,pl,3,d,0,0' name='गतिविधियां' posn='90'>
	))
5	((	VGNN	<fs name='VGNN' drel='k7:VGNN2'>
5.1	रोक	VM	<fs af='रोक,v,any,any,any,,0,0' name='रोक' posn='100'>
5.2	पाने	VAUX	<fs af='पा,v,any,any,any,o,ना,nA' name='पाने' posn='110'>
5.3	में	PSP	<fs af='में,psp,,,,,,' name='में' posn='120'>
	))
6	((	JJP	<fs name='JJP' drel='pof:VGNN2'>
6.1	नाकाम	JJ	<fs af='नाकाम,adj,any,any,,,,' name='नाकाम' posn='130'>
	))
7	((	VGNN	<fs name='VGNN2' drel='k7:VGF'>
7.1	रहने	VM	<fs af='रह,v,any,any,any,o,ना,nA' name='रहने' posn='140'>
7.2	पर	PSP	<fs af='पर,psp,,,,,,' name='पर' posn='150'>
	))
8	((	NP	<fs name='NP4' drel='k1:VGF'>
8.1	पटना	NNPC	<fs af='पटना,n,m,sg,3,d,0,0' name='पटना' posn='160'>
8.2	हाईकोर्ट	NNP	<fs af='हाईकोर्ट,n,m,sg,3,o,0,0' name='हाईकोर्ट' posn='170'>
8.3	ने	PSP	<fs af='ने,psp,,,,,,' name='ने' posn='180'>
	))
9	((	NP	<fs name='NP5' drel='k7t:VGF'>
9.1	बुधवार	NNP	<fs af='बुधवार,n,m,sg,3,o,0,0' name='बुधवार' posn='190'>
9.2	को	PSP	<fs af='को,psp,,,,,,' name='को' posn='200'>
	))
10	((	NP	<fs name='NP6' drel='k4:VGF'>
10.1	राज्य	NNC	<fs af='राज्य,n,m,sg,3,d,0,0' name='राज्य' posn='210'>
10.2	सरकार	NN	<fs af='सरकार,n,f,sg,3,o,0,0' name='सरकार' posn='220'>
10.3	को	PSP	<fs af='को,psp,,,,,,' name='को2' posn='230'>
	))
11	((	NP	<fs name='NP7' drel='pof:VGF'>
11.1	कड़ी	JJ	<fs af='कडा,adj,f,sg,,d,,' name='कड़ी' posn='240'>
11.2	फटकार	NN	<fs af='फटकार,n,f,sg,3,d,0,0' name='फटकार' posn='250'>
	))
12	((	VGF	<fs name='VGF' stype='declarative' voicetype='active'>
12.1	लगाई	VM	<fs af='लगा,v,f,sg,any,,या,yA' name='लगाई' posn='260'>
	))
13	((	BLK	<fs name='BLK' drel='rsym:VGF'>
13.1	।	SYM	<fs af='।,punc,,,,,,' name='।' posn='270'>
	))
</Sentence>

<Sentence id='2'>
1	((	NP	<fs name='NP' drel='k1:VGF'>
1.1	कोर्ट	NN	<fs af='कोर्ट,n,m,sg,3,o,0,0' name='कोर्ट' posn='10'>
1.2	ने	PSP	<fs af='ने,psp,,,,,,' name='ने' posn='20'>
	))
2	((	NP	<fs name='NP2' drel='k2:VGF'>
2.1	आदेश	NN	<fs af='आदेश,n,m,sg,3,d,0,0' name='आदेश' posn='30'>
	))
3	((	VGF	<fs name='VGF' stype='declarative' voicetype='active'>
3.1	दिया	VM	<fs af='दे,v,m,sg,any,,या,yA' name='दिया' posn='40'>
	))
4	((	CCP	<fs name='CCP' drel='rs:NP2'>
4.1	कि	CC	<fs af='कि,avy,,,,,,' name='कि' posn='50'>
	))
5	((	NP	<fs name='NP3' drel='ras-NEG:VGF2'>
